id,type,parent_site,name_en,name_ar,in_maan_governorate,lat,lon,group,source_url,flags,notes,description_en,description_ar,avg_visit_minutes,accessibility_notes,image_url,image_license,image_attribution,content_flags
SHB,site,,Shobak Castle (Montreal),قلعة الشوبك,yes,,,A,https://en.wikipedia.org/wiki/Montreal_%28castle%29,needs_coords,No OSM feature for the castle itself in the fetched extract (the 0.93 match was 'Shobak Wind Farm') - get coordinates manually from the Wikipedia article or a map.,,,,,,,,
WUA,site,,Wu'ayra Castle (Vaux Moise),قلعة الوعيرة,yes,30.3327377,35.4656377,A,https://www.openstreetmap.org/way/751173171 | https://en.wikipedia.org/wiki/Wu%27ayra_Castle,,,,,,,,,,
UNZ,site,,Qasr Uneizah (Unayzah),قصر عنيزة,yes,,,A,,"needs_coords,needs_source",,,,,,,,,
PET-HAB,landmark,PET,Al-Habis Castle (Cave de Sueth),قلعة الحبيس,yes,30.3290508,35.4388177,A,https://www.openstreetmap.org/node/2533844440,,Inside Petra,,,,,,,,
BAS,site,,Basta (Neolithic site),,yes,30.233,35.533,A,https://en.wikipedia.org/wiki/Basta_%28archaeological_site%29,needs_name_ar,,,,,,,,,
BAJ,site,,Ba'ja (Neolithic site),,yes,30.4134083,35.4612934,A,https://www.openstreetmap.org/node/8855258827 | https://en.wikipedia.org/wiki/Ba%27ja,needs_name_ar,,,,,,,,,
BEI,site,,Beidha (Neolithic site),,yes,,,A,https://en.wikipedia.org/wiki/Beidha_%28archaeological_site%29,"needs_coords,needs_name_ar",,,,,,,,,
JHR,site,,Jebel Harun / Tomb of Aaron,,yes,30.316791,35.406715,A,https://www.openstreetmap.org/node/3379067633 | https://en.wikipedia.org/wiki/Mount_Hor,needs_name_ar,No formal entrance - guide required,,,,,,,,
AMS,site,,Ain Musa (Moses Spring),,yes,,,A,,"needs_coords,needs_name_ar,needs_source",,,,,,,,,
UDH,site,,Udhruh (Roman legionary fort),,yes,30.3304905,35.5954027,A,https://www.openstreetmap.org/node/9205489036 | https://en.wikipedia.org/wiki/Udhruh,needs_name_ar,,,,,,,,,
USH,site,,Umm Sayhoun (Bedouin village),أم صيحون,yes,30.343334,35.45547,A,https://www.openstreetmap.org/node/802551597,,,,,,,,,,
OPM,site,,Old Petra Museum,,yes,,,A,,"needs_coords,needs_name_ar,needs_source","DUPLICATE RISK: the only museum feature in the Petra extract is a single 'Petra Museum' node at 30.32532,35.46784 - the same entity as PAM, and ~10m from the coords originally recorded for OPM. Decide: merge into PAM and drop OPM, or source the in-park archaeological museum separately. The 0.93 match was the 'Petra' node itself.",,,,,,,,
WMU,site,,Wadi Musa (town),وادي موسى,yes,30.3216568,35.4800889,A,https://www.openstreetmap.org/node/411050499 | https://en.wikipedia.org/wiki/Wadi_Musa,,,,,,,,,,
PET-SIQ,landmark,PET,The Siq,السيق,yes,30.3242359,35.4482366,B,https://www.openstreetmap.org/way/35049641 | https://en.wikipedia.org/wiki/Siq,,,"The Siq is Petra's grand natural entrance, a winding sandstone gorge about 1.2 km long that narrows to just 3-4 metres wide in places. Its walls still show Nabataean carved niches that once held sacred stones (baetyls) and channels from the water system that supplied the city, making the walk itself part of Petra's story before the Treasury even comes into view.",السيق هو المدخل الطبيعي الكبير للبتراء، ممر صخري متعرج يمتد نحو 1.2 كم ويضيق في بعض الأماكن إلى 3-4 أمتار فقط. لا تزال جدرانه تحمل تجاويف نبطية منحوتة كانت تضم أحجاراً مقدسة، وقنوات من نظام المياه الذي كان يغذي المدينة، ما يجعل السير فيه جزءاً من قصة البتراء قبل ظهور الخزنة.,20,Wide enough for wheelchair passage with assistance in most sections; uneven sandy/paved surface.,"https://commons.wikimedia.org/wiki/Special:FilePath/Petra_Siq,_entrance_to_the_ancient_Nabatean_city_of_Petra,_Jordan.jpg",CC BY 4.0,"Photo by Vyacheslav Argenberg, CC BY 4.0, via Wikimedia Commons",
