id,type,parent_site,name_en,name_ar,in_maan_governorate,lat,lon,group,source_url,flags,notes
SHB,site,,Shobak Castle (Montreal),قلعة الشوبك,yes,,,A,https://en.wikipedia.org/wiki/Montreal_%28castle%29,needs_coords,No OSM feature for the castle itself in the fetched extract (the 0.93 match was 'Shobak Wind Farm') - get coordinates manually from the Wikipedia article or a map.
WUA,site,,Wu'ayra Castle (Vaux Moise),قلعة الوعيرة,yes,30.3327377,35.4656377,A,https://www.openstreetmap.org/way/751173171 | https://en.wikipedia.org/wiki/Wu%27ayra_Castle,,
UNZ,site,,Qasr Uneizah (Unayzah),قصر عنيزة,yes,,,A,,"needs_coords,needs_source",
PET-HAB,landmark,PET,Al-Habis Castle (Cave de Sueth),قلعة الحبيس,yes,30.3290508,35.4388177,A,https://www.openstreetmap.org/node/2533844440,,Inside Petra
PET-SIQ,landmark,PET,The Siq,السيق,yes,30.3242359,35.4482366,B,https://www.openstreetmap.org/way/35049641 | https://en.wikipedia.org/wiki/Siq,,
PET-WFA,landmark,PET,Wadi Farasa,,yes,30.3235921,35.4419705,C,https://www.openstreetmap.org/way/303937147,needs_name_ar,OSM matched as 'Wadi Farasah' (score 0.93) - confirm same feature
PET-WSA,landmark,PET,Wadi Sabra,,yes,,,C,,"needs_coords,needs_name_ar,needs_source",
PET-WMD,landmark,PET,Wadi al-Mudhlim (Nabataean Dam & Tunnel),,yes,30.3235419,35.460945,C,https://www.openstreetmap.org/way/488821487,needs_name_ar,
PET,site,,Petra,البتراء,yes,30.3333331,35.4333329,B,https://www.openstreetmap.org/node/802556924 | https://en.wikipedia.org/wiki/Petra,,
LPET,site,,Little Petra (Siq al-Barid),,yes,30.3751131,35.4509057,B,https://www.openstreetmap.org/node/546597034 | https://en.wikipedia.org/wiki/Little_Petra,needs_name_ar,
BAS,site,,Basta (Neolithic site),,yes,30.233,35.533,A,https://en.wikipedia.org/wiki/Basta_%28archaeological_site%29,needs_name_ar,
BAJ,site,,Ba'ja (Neolithic site),,yes,30.4134083,35.4612934,A,https://www.openstreetmap.org/node/8855258827 | https://en.wikipedia.org/wiki/Ba%27ja,needs_name_ar,
BEI,site,,Beidha (Neolithic site),,yes,,,A,https://en.wikipedia.org/wiki/Beidha_%28archaeological_site%29,"needs_coords,needs_name_ar",
JHR,site,,Jebel Harun / Tomb of Aaron,,yes,30.316791,35.406715,A,https://www.openstreetmap.org/node/3379067633 | https://en.wikipedia.org/wiki/Mount_Hor,needs_name_ar,No formal entrance - guide required
AMS,site,,Ain Musa (Moses Spring),,yes,,,A,,"needs_coords,needs_name_ar,needs_source",
UDH,site,,Udhruh (Roman legionary fort),,yes,30.3304905,35.5954027,A,https://www.openstreetmap.org/node/9205489036 | https://en.wikipedia.org/wiki/Udhruh,needs_name_ar,
AJF,site,,Al-Jafr (desert town & basin),,yes,30.3175067,36.1852741,B,https://www.openstreetmap.org/node/9206525690 | https://en.wikipedia.org/wiki/Al-Jafr,needs_name_ar,
USH,site,,Umm Sayhoun (Bedouin village),أم صيحون,yes,30.343334,35.45547,A,https://www.openstreetmap.org/node/802551597,,
AMM,site,,Ammarin Bedouin Camp,,yes,30.3815497,35.4495047,C,https://www.openstreetmap.org/node/3053244053,needs_name_ar,Community-owned cooperative - potential pitch case study / demo partner
OPM,site,,Old Petra Museum,,yes,,,A,,"needs_coords,needs_name_ar,needs_source","DUPLICATE RISK: the only museum feature in the Petra extract is a single 'Petra Museum' node at 30.32532,35.46784 - the same entity as PAM, and ~10m from the coords originally recorded for OPM. Decide: merge into PAM and drop OPM, or source the in-park archaeological museum separately. The 0.93 match was the 'Petra' node itself."
WMU,site,,Wadi Musa (town),وادي موسى,yes,30.3216568,35.4800889,A,https://www.openstreetmap.org/node/411050499 | https://en.wikipedia.org/wiki/Wadi_Musa,,
PET-TRE,landmark,PET,Treasury (Al-Khazneh),,yes,30.3220754,35.4515251,B,https://www.openstreetmap.org/way/488848937 | https://en.wikipedia.org/wiki/Al-Khazneh,needs_name_ar,
PET-MON,landmark,PET,Monastery (Ad-Deir),,yes,30.3382074,35.4309778,B,https://www.openstreetmap.org/way/41032088 | https://en.wikipedia.org/wiki/Ed-Deir%2C_Petra,needs_name_ar,OSM matched as 'Monastery (Ad Deir)' (score 0.93) - confirm same feature
PET-SOF,landmark,PET,Street of Facades,,yes,30.323142,35.4501264,B,https://www.openstreetmap.org/node/4788669947,needs_name_ar,
PET-URN,landmark,PET,Urn Tomb (Royal Tombs),,yes,30.327551,35.449262,B,https://www.openstreetmap.org/node/2437205310,needs_name_ar,
PET-SLK,landmark,PET,Silk Tomb (Royal Tombs),,yes,30.3280388,35.4492607,B,https://www.openstreetmap.org/node/2437205299,needs_name_ar,
